date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,marketcap,price
2023-12-04,22.774591921517803,783482.1886838566,1068720494.4308718,278084631.251564,0.0018083866065465,904793619.992252,-13.314840048426923,2166279277.449684,7.79
2023-12-05,22.76324836587188,870471.3864731393,1068891005.7080036,278255142.253586,0.0019589787439682,904897469.8835274,-13.30683017618358,2142564595.3526125,7.7
2023-12-06,22.753752831294207,873663.5214168256,1069061594.4284692,278425729.180284,0.0019918492816075,905074522.5196131,-13.300124083923905,2063134653.2259047,7.41
2023-12-07,22.447897484346136,935830.3295154598,1069231170.2619096,278595305.411349,0.0020396088653325,893452363.8793191,-13.083561601648077,2214832678.0202246,7.95
2023-12-08,22.49978505720249,988784.3299603591,1069399704.4147992,278763841.249082,0.0020438710766684,896059291.5594778,-13.120377037917642,2361129735.379725,8.47
2023-12-09,22.48405696310302,986428.561089858,1069568637.1132326,278932773.557338,0.0020271259141737,895975553.3810987,-13.109220884870831,2301195381.8480387,8.25
2023-12-10,22.424941445943773,1005452.6937685008,1069737483.260424,279101621.404638,0.0020852206748541,894160776.7481552,-13.067263802571327,2352826668.441098,8.43
2023-12-11,22.418857801789525,937988.9498615748,1069906094.5439262,279270231.945207,0.002110698096402,894458233.4005041,-13.062943652539882,2175515106.853163,7.79
2023-12-12,22.5918981199562,1088724.366538349,1070075855.301911,279439994.916679,0.0020752675553593,901910044.4047124,-13.185656622332708,2551287153.58928,9.13
2023-12-13,20.733915804875373,1041892.1657603031,1070245875.5735132,304452403.783515,0.0021147017617048,901825842.0800668,-11.849664878705802,2603068052.3490534,8.55
2023-12-14,20.473287527719528,1013597.666830657,1070414482.36122,304621011.657205,0.0021214148858945,890982922.1633852,-11.663235270712224,2564908918.153666,8.42
2023-12-15,20.48313716862162,1012886.610723512,1070582444.4991678,304788968.628691,0.0021304970996154,891903063.527235,-11.670456907129424,2487077984.010119,8.16
2023-12-16,20.476787165710004,1014342.8462566392,1070750543.0851656,304957072.473492,0.0021459728495499,892118332.8315525,-11.665801297787423,2497598423.5578995,8.19
2023-12-17,20.45973559012029,1024274.8751094986,1070918683.3390368,305125213.971823,0.002178156978941,891866911.5554137,-11.653297225294256,2462360476.752612,8.07
2023-12-18,20.46069704051903,994338.464602624,1071114917.2127926,305307398.388916,0.002190509958627,892441364.1119859,-11.654002359621863,2405822299.304658,7.88
2023-12-19,20.454493310226376,1014345.2546316548,1071282738.34617,305475379.203079,0.0022144608727894,892661648.199852,-11.649452303191964,2468241063.9608784,8.08
2023-12-20,20.44989196747021,1027242.65923212,1071450624.6221716,305643104.732668,0.0022279493022384,892950857.5087658,-11.646077197195549,2475709148.3346105,8.1
2023-12-21,20.71852547074768,1129760.825930029,1071619963.5331378,305812272.408134,0.0022475276017695,905181546.230434,-11.838426644096034,2611636806.365464,8.54
2023-12-22,20.719152989894106,1248738.236965628,1071785436.1747422,305991974.750807,0.0023417467234288,905740883.8723414,-11.8388849232828,2833485686.1924725,9.26
2023-12-23,20.717784642102995,1340829.9203677387,1071953639.5450332,306145954.137016,0.0025438956516313,906136817.5595846,-11.8378856084972,2837972994.850138,9.27
